categories,chunks,context,id,targets,time_coords,time_indices,trials,words
animal,0,read,36,animal,6.8000030517578125,8,0,TIGRE
animal,0,read,36,animal,7.650003433227539,9,0,TIGRE
animal,0,read,36,animal,8.500003814697266,10,0,TIGRE
animal,0,read,36,animal,9.350004196166992,11,0,TIGRE
animal,0,read,36,animal,10.200004577636719,12,0,TIGRE
animal,0,read,36,animal,11.050004959106445,13,0,TIGRE
tool,0,read,37,tool,18.700008392333984,22,35,CUCHILLO
tool,0,read,37,tool,19.55000877380371,23,35,CUCHILLO
tool,0,read,37,tool,20.400009155273438,24,35,CUCHILLO
tool,0,read,37,tool,21.250009536743164,25,35,CUCHILLO
tool,0,read,37,tool,22.10000991821289,26,35,CUCHILLO
tool,0,read,37,tool,22.950010299682617,27,35,CUCHILLO
tool,0,read,38,tool,32.30001449584961,38,29,CEPILLO
tool,0,read,38,tool,33.150014877319336,39,29,CEPILLO
tool,0,read,38,tool,34.00001525878906,40,29,CEPILLO
tool,0,read,38,tool,34.85001564025879,41,29,CEPILLO
tool,0,read,38,tool,35.700016021728516,42,29,CEPILLO
tool,0,read,38,tool,36.55001640319824,43,29,CEPILLO
tool,0,read,39,tool,44.20001983642578,52,33,CUCHARA
tool,0,read,39,tool,45.05002021789551,53,33,CUCHARA
tool,0,read,39,tool,45.900020599365234,54,33,CUCHARA
tool,0,read,39,tool,46.75002098083496,55,33,CUCHARA
tool,0,read,39,tool,47.60002136230469,56,33,CUCHARA
tool,0,read,39,tool,48.450021743774414,57,33,CUCHARA
animal,0,read,40,animal,56.10002517700195,66,17,CANGURO
animal,0,read,40,animal,56.95002555847168,67,17,CANGURO
animal,0,read,40,animal,57.800025939941406,68,17,CANGURO
animal,0,read,40,animal,58.65002632141113,69,17,CANGURO
animal,0,read,40,animal,59.50002670288086,70,17,CANGURO
animal,0,read,40,animal,60.350027084350586,71,17,CANGURO
tool,0,read,41,tool,68.00003051757812,80,19,LAPIZ
tool,0,read,41,tool,68.85003089904785,81,19,LAPIZ
tool,0,read,41,tool,69.70003128051758,82,19,LAPIZ
tool,0,read,41,tool,70.5500316619873,83,19,LAPIZ
