categories,chunks,context,id,targets,time_coords,time_indices,trials,words
animal,0,read,144,animal,6.8000030517578125,8,14,PANTERA
animal,0,read,144,animal,7.650003433227539,9,14,PANTERA
animal,0,read,144,animal,8.500003814697266,10,14,PANTERA
animal,0,read,144,animal,9.350004196166992,11,14,PANTERA
animal,0,read,144,animal,10.200004577636719,12,14,PANTERA
animal,0,read,144,animal,11.050004959106445,13,14,PANTERA
animal,0,read,145,animal,20.400009155273438,24,4,CERDO
animal,0,read,145,animal,21.250009536743164,25,4,CERDO
animal,0,read,145,animal,22.10000991821289,26,4,CERDO
animal,0,read,145,animal,22.950010299682617,27,4,CERDO
animal,0,read,145,animal,23.800010681152344,28,4,CERDO
animal,0,read,145,animal,24.65001106262207,29,4,CERDO
animal,0,read,147,animal,44.20001983642578,52,15,CAMELLO
animal,0,read,147,animal,45.05002021789551,53,15,CAMELLO
animal,0,read,147,animal,45.900020599365234,54,15,CAMELLO
animal,0,read,147,animal,46.75002098083496,55,15,CAMELLO
animal,0,read,147,animal,47.60002136230469,56,15,CAMELLO
animal,0,read,147,animal,48.450021743774414,57,15,CAMELLO
tool,0,read,148,tool,56.10002517700195,66,29,CEPILLO
tool,0,read,148,tool,56.95002555847168,67,29,CEPILLO
tool,0,read,148,tool,57.800025939941406,68,29,CEPILLO
tool,0,read,148,tool,58.65002632141113,69,29,CEPILLO
tool,0,read,148,tool,59.50002670288086,70,29,CEPILLO
tool,0,read,148,tool,60.350027084350586,71,29,CEPILLO
tool,0,read,149,tool,68.00003051757812,80,32,TORNILLO
tool,0,read,149,tool,68.85003089904785,81,32,TORNILLO
tool,0,read,149,tool,69.70003128051758,82,32,TORNILLO
tool,0,read,149,tool,70.5500316619873,83,32,TORNILLO
tool,0,read,149,tool,71.40003204345703,84,32,TORNILLO
tool,0,read,149,tool,72.25003242492676,85,32,TORNILLO
tool,0,read,150,tool,79.05003547668457,93,30,TALADRO
tool,0,read,150,tool,79.9000358581543,94,30,TALADRO
tool,0,read,150,tool,80.75003623962402,95,30,TALADRO
tool,0,read,150,tool,81.60003662109375,96,30,TALADRO
tool,0,read,150,tool,82.45003700256348,97,30,TALADRO
tool,0,read,150,tool,83.3000373840332,98,30,TALADRO
tool,0,read,150,tool,84.15003776550293,99,30,TALADRO
tool,0,read,151,tool,91.80004119873047,108,28,NAVAJA
tool,0,read,151,tool,92.6500415802002,109,28,NAVAJA
tool,0,read,151,tool,93.50004196166992,110,28,NAVAJA
tool,0,read,151,tool,94.35004234313965,111,28,NAVAJA
tool,0,read,151,tool,95.20004272460938,112,28,NAVAJA
tool,0,read,151,tool,96.0500431060791,113,28,NAVAJA
tool,0,read,152,tool,105.4000473022461,124,27,TUERCA
tool,0,read,152,tool,106.25004768371582,125,27,TUERCA
tool,0,read,152,tool,107.10004806518555,126,27,TUERCA
tool,0,read,152,tool,107.95004844665527,127,27,TUERCA
tool,0,read,152,tool,108.800048828125,128,27,TUERCA
tool,0,read,152,tool,109.65004920959473,129,27,TUERCA
tool,0,read,153,tool,117.30005264282227,138,23,SIERRA
tool,0,read,153,tool,118.15005302429199,139,23,SIERRA
tool,0,read,153,tool,119.00005340576172,140,23,SIERRA
tool,0,read,153,tool,119.85005378723145,141,23,SIERRA
tool,0,read,153,tool,120.70005416870117,142,23,SIERRA
tool,0,read,153,tool,121.5500545501709,143,23,SIERRA
tool,0,read,154,tool,130.05005836486816,153,21,AGUJA
tool,0,read,154,tool,130.9000587463379,154,21,AGUJA
tool,0,read,154,tool,131.75005912780762,155,21,AGUJA
tool,0,read,154,tool,132.60005950927734,156,21,AGUJA
tool,0,read,154,tool,133.45005989074707,157,21,AGUJA
tool,0,read,154,tool,134.3000602722168,158,21,AGUJA
tool,0,read,155,tool,141.95006370544434,167,18,LLAVE
tool,0,read,155,tool,142.80006408691406,168,18,LLAVE
tool,0,read,155,tool,143.6500644683838,169,18,LLAVE
tool,0,read,155,tool,144.50006484985352,170,18,LLAVE
tool,0,read,155,tool,145.35006523132324,171,18,LLAVE
tool,0,read,155,tool,146.20006561279297,172,18,LLAVE
animal,0,read,156,animal,153.00006866455078,180,8,ARDILLA
animal,0,read,156,animal,153.8500690460205,181,8,ARDILLA
animal,0,read,156,animal,154.70006942749023,182,8,ARDILLA
animal,0,read,156,animal,155.55006980895996,183,8,ARDILLA
animal,0,read,156,animal,156.4000701904297,184,8,ARDILLA
animal,0,read,156,animal,157.2500705718994,185,8,ARDILLA
animal,0,read,156,animal,158.10007095336914,186,8,ARDILLA
animal,0,read,157,animal,165.75007438659668,195,13,TORTUGA
animal,0,read,157,animal,166.6000747680664,196,13,TORTUGA
animal,0,read,157,animal,167.45007514953613,197,13,TORTUGA
animal,0,read,157,animal,168.30007553100586,198,13,TORTUGA
animal,0,read,157,animal,169.1500759124756,199,13,TORTUGA
animal,0,read,157,animal,170.0000762939453,200,13,TORTUGA
tool,0,read,158,tool,177.65007972717285,209,34,MARTILLO
tool,0,read,158,tool,178.50008010864258,210,34,MARTILLO
tool,0,read,158,tool,179.3500804901123,211,34,MARTILLO
tool,0,read,158,tool,180.20008087158203,212,34,MARTILLO
tool,0,read,158,tool,181.05008125305176,213,34,MARTILLO
tool,0,read,158,tool,181.90008163452148,214,34,MARTILLO
tool,0,read,159,tool,190.40008544921875,224,22,PINZA
tool,0,read,159,tool,191.25008583068848,225,22,PINZA
tool,0,read,159,tool,192.1000862121582,226,22,PINZA
tool,0,read,159,tool,192.95008659362793,227,22,PINZA
tool,0,read,159,tool,193.80008697509766,228,22,PINZA
tool,0,read,159,tool,194.65008735656738,229,22,PINZA
animal,0,read,160,animal,202.30009078979492,238,12,BALLENA
animal,0,read,160,animal,203.15009117126465,239,12,BALLENA
animal,0,read,160,animal,204.00009155273438,240,12,BALLENA
animal,0,read,160,animal,204.8500919342041,241,12,BALLENA
animal,0,read,160,animal,205.70009231567383,242,12,BALLENA
animal,0,read,160,animal,206.55009269714355,243,12,BALLENA
tool,0,read,161,tool,214.2000961303711,252,33,CUCHARA
tool,0,read,161,tool,215.05009651184082,253,33,CUCHARA
tool,0,read,161,tool,215.90009689331055,254,33,CUCHARA
tool,0,read,161,tool,216.75009727478027,255,33,CUCHARA
tool,0,read,161,tool,217.60009765625,256,33,CUCHARA
tool,0,read,161,tool,218.45009803771973,257,33,CUCHARA
animal,0,read,162,animal,226.10010147094727,266,9,CONEJO
animal,0,read,162,animal,226.950101852417,267,9,CONEJO
animal,0,read,162,animal,227.80010223388672,268,9,CONEJO
animal,0,read,162,animal,228.65010261535645,269,9,CONEJO
animal,0,read,162,animal,229.50010299682617,270,9,CONEJO
animal,0,read,162,animal,230.3501033782959,271,9,CONEJO
animal,0,read,163,animal,238.00010681152344,280,3,OVEJA
animal,0,read,163,animal,238.85010719299316,281,3,OVEJA
animal,0,read,163,animal,239.7001075744629,282,3,OVEJA
animal,0,read,163,animal,240.55010795593262,283,3,OVEJA
animal,0,read,163,animal,241.40010833740234,284,3,OVEJA
animal,0,read,163,animal,242.25010871887207,285,3,OVEJA
animal,0,read,164,animal,249.9001121520996,294,1,GALLO
animal,0,read,164,animal,250.75011253356934,295,1,GALLO
animal,0,read,164,animal,251.60011291503906,296,1,GALLO
animal,0,read,164,animal,252.4501132965088,297,1,GALLO
animal,0,read,164,animal,253.30011367797852,298,1,GALLO
animal,0,read,164,animal,254.15011405944824,299,1,GALLO
animal,0,read,165,animal,261.8001174926758,308,16,ELEFANTE
animal,0,read,165,animal,262.6501178741455,309,16,ELEFANTE
animal,0,read,165,animal,263.50011825561523,310,16,ELEFANTE
animal,0,read,165,animal,264.35011863708496,311,16,ELEFANTE
animal,0,read,165,animal,265.2001190185547,312,16,ELEFANTE
animal,0,read,165,animal,266.0501194000244,313,16,ELEFANTE
tool,0,read,166,tool,274.5501232147217,323,25,PINCEL
tool,0,read,166,tool,275.4001235961914,324,25,PINCEL
tool,0,read,166,tool,276.25012397766113,325,25,PINCEL
tool,0,read,166,tool,277.10012435913086,326,25,PINCEL
tool,0,read,166,tool,277.9501247406006,327,25,PINCEL
tool,0,read,166,tool,278.8001251220703,328,25,PINCEL
animal,0,read,167,animal,286.45012855529785,337,2,PERRO
