categories,chunks,context,id,targets,time_coords,time_indices,trials,words
animal,0,read,144,animal,6.8000030517578125,8,9,CONEJO
animal,0,read,144,animal,7.650003433227539,9,9,CONEJO
animal,0,read,144,animal,8.500003814697266,10,9,CONEJO
animal,0,read,144,animal,9.350004196166992,11,9,CONEJO
animal,0,read,144,animal,10.200004577636719,12,9,CONEJO
animal,0,read,144,animal,11.050004959106445,13,9,CONEJO
tool,0,read,145,tool,18.700008392333984,22,32,TORNILLO
tool,0,read,145,tool,19.55000877380371,23,32,TORNILLO
tool,0,read,145,tool,20.400009155273438,24,32,TORNILLO
tool,0,read,145,tool,21.250009536743164,25,32,TORNILLO
tool,0,read,145,tool,22.10000991821289,26,32,TORNILLO
tool,0,read,145,tool,22.950010299682617,27,32,TORNILLO
animal,0,read,146,animal,30.600013732910156,36,0,TIGRE
animal,0,read,146,animal,31.450014114379883,37,0,TIGRE
animal,0,read,146,animal,32.30001449584961,38,0,TIGRE
animal,0,read,146,animal,33.150014877319336,39,0,TIGRE
animal,0,read,146,animal,34.00001525878906,40,0,TIGRE
animal,0,read,146,animal,34.85001564025879,41,0,TIGRE
tool,0,read,148,tool,55.25002479553223,65,27,TUERCA
tool,0,read,148,tool,56.10002517700195,66,27,TUERCA
tool,0,read,148,tool,56.95002555847168,67,27,TUERCA
tool,0,read,148,tool,57.800025939941406,68,27,TUERCA
tool,0,read,148,tool,58.65002632141113,69,27,TUERCA
tool,0,read,148,tool,59.50002670288086,70,27,TUERCA
tool,0,read,149,tool,67.1500301361084,79,28,NAVAJA
tool,0,read,149,tool,68.00003051757812,80,28,NAVAJA
tool,0,read,149,tool,68.85003089904785,81,28,NAVAJA
tool,0,read,149,tool,69.70003128051758,82,28,NAVAJA
tool,0,read,149,tool,70.5500316619873,83,28,NAVAJA
tool,0,read,149,tool,71.40003204345703,84,28,NAVAJA
tool,0,read,150,tool,79.05003547668457,93,20,TIJERA
tool,0,read,150,tool,79.9000358581543,94,20,TIJERA
tool,0,read,150,tool,80.75003623962402,95,20,TIJERA
tool,0,read,150,tool,81.60003662109375,96,20,TIJERA
tool,0,read,150,tool,82.45003700256348,97,20,TIJERA
tool,0,read,150,tool,83.3000373840332,98,20,TIJERA
tool,0,read,150,tool,84.15003776550293,99,20,TIJERA
animal,0,read,151,animal,90.95004081726074,107,14,PANTERA
