categories,chunks,context,id,targets,time_coords,time_indices,trials,words
tool,0,read,144,tool,6.8000030517578125,8,25,PINCEL
tool,0,read,144,tool,7.650003433227539,9,25,PINCEL
tool,0,read,144,tool,8.500003814697266,10,25,PINCEL
tool,0,read,144,tool,9.350004196166992,11,25,PINCEL
tool,0,read,144,tool,10.200004577636719,12,25,PINCEL
tool,0,read,144,tool,11.050004959106445,13,25,PINCEL
tool,0,read,145,tool,18.700008392333984,22,19,LAPIZ
tool,0,read,145,tool,19.55000877380371,23,19,LAPIZ
tool,0,read,145,tool,20.400009155273438,24,19,LAPIZ
tool,0,read,145,tool,21.250009536743164,25,19,LAPIZ
tool,0,read,145,tool,22.10000991821289,26,19,LAPIZ
tool,0,read,145,tool,22.950010299682617,27,19,LAPIZ
animal,0,read,146,animal,30.600013732910156,36,13,TORTUGA
animal,0,read,146,animal,31.450014114379883,37,13,TORTUGA
animal,0,read,146,animal,32.30001449584961,38,13,TORTUGA
animal,0,read,146,animal,33.150014877319336,39,13,TORTUGA
animal,0,read,146,animal,34.00001525878906,40,13,TORTUGA
animal,0,read,146,animal,34.85001564025879,41,13,TORTUGA
animal,0,read,147,animal,42.50001907348633,50,3,OVEJA
animal,0,read,147,animal,43.350019454956055,51,3,OVEJA
animal,0,read,147,animal,44.20001983642578,52,3,OVEJA
animal,0,read,147,animal,45.05002021789551,53,3,OVEJA
animal,0,read,147,animal,45.900020599365234,54,3,OVEJA
animal,0,read,147,animal,46.75002098083496,55,3,OVEJA
tool,0,read,148,tool,54.4000244140625,64,29,CEPILLO
tool,0,read,148,tool,55.25002479553223,65,29,CEPILLO
tool,0,read,148,tool,56.10002517700195,66,29,CEPILLO
tool,0,read,148,tool,56.95002555847168,67,29,CEPILLO
tool,0,read,148,tool,57.800025939941406,68,29,CEPILLO
tool,0,read,148,tool,58.65002632141113,69,29,CEPILLO
tool,0,read,149,tool,66.30002975463867,78,20,TIJERA
tool,0,read,149,tool,67.1500301361084,79,20,TIJERA
tool,0,read,149,tool,68.00003051757812,80,20,TIJERA
tool,0,read,149,tool,68.85003089904785,81,20,TIJERA
tool,0,read,149,tool,69.70003128051758,82,20,TIJERA
tool,0,read,149,tool,70.5500316619873,83,20,TIJERA
animal,0,read,150,animal,78.20003509521484,92,4,CERDO
animal,0,read,150,animal,79.05003547668457,93,4,CERDO
animal,0,read,150,animal,79.9000358581543,94,4,CERDO
animal,0,read,150,animal,80.75003623962402,95,4,CERDO
animal,0,read,150,animal,81.60003662109375,96,4,CERDO
animal,0,read,150,animal,82.45003700256348,97,4,CERDO
tool,0,read,151,tool,90.10004043579102,106,28,NAVAJA
tool,0,read,151,tool,90.95004081726074,107,28,NAVAJA
tool,0,read,151,tool,91.80004119873047,108,28,NAVAJA
tool,0,read,151,tool,92.6500415802002,109,28,NAVAJA
tool,0,read,151,tool,93.50004196166992,110,28,NAVAJA
tool,0,read,151,tool,94.35004234313965,111,28,NAVAJA
animal,0,read,152,animal,102.00004577636719,120,5,GORILA
animal,0,read,152,animal,102.85004615783691,121,5,GORILA
animal,0,read,152,animal,103.70004653930664,122,5,GORILA
animal,0,read,152,animal,104.55004692077637,123,5,GORILA
animal,0,read,152,animal,105.4000473022461,124,5,GORILA
animal,0,read,152,animal,106.25004768371582,125,5,GORILA
animal,0,read,153,animal,115.60005187988281,136,1,GALLO
animal,0,read,153,animal,116.45005226135254,137,1,GALLO
animal,0,read,153,animal,117.30005264282227,138,1,GALLO
animal,0,read,153,animal,118.15005302429199,139,1,GALLO
animal,0,read,153,animal,119.00005340576172,140,1,GALLO
animal,0,read,153,animal,119.85005378723145,141,1,GALLO
tool,0,read,154,tool,127.50005722045898,150,24,CLAVO
tool,0,read,154,tool,128.3500576019287,151,24,CLAVO
tool,0,read,154,tool,129.20005798339844,152,24,CLAVO
tool,0,read,154,tool,130.05005836486816,153,24,CLAVO
tool,0,read,154,tool,130.9000587463379,154,24,CLAVO
tool,0,read,154,tool,131.75005912780762,155,24,CLAVO
tool,0,read,155,tool,140.25006294250488,165,21,AGUJA
tool,0,read,155,tool,141.1000633239746,166,21,AGUJA
tool,0,read,155,tool,141.95006370544434,167,21,AGUJA
tool,0,read,155,tool,142.80006408691406,168,21,AGUJA
tool,0,read,155,tool,143.6500644683838,169,21,AGUJA
tool,0,read,155,tool,144.50006484985352,170,21,AGUJA
animal,0,read,156,animal,152.15006828308105,179,6,BURRO
animal,0,read,156,animal,153.00006866455078,180,6,BURRO
animal,0,read,156,animal,153.8500690460205,181,6,BURRO
animal,0,read,156,animal,154.70006942749023,182,6,BURRO
animal,0,read,156,animal,155.55006980895996,183,6,BURRO
animal,0,read,156,animal,156.4000701904297,184,6,BURRO
tool,0,read,157,tool,164.05007362365723,193,18,LLAVE
