categories,chunks,context,id,targets,time_coords,time_indices,trials,words
animal,0,read,144,animal,6.8000030517578125,8,2,PERRO
animal,0,read,144,animal,7.650003433227539,9,2,PERRO
animal,0,read,144,animal,8.500003814697266,10,2,PERRO
animal,0,read,144,animal,9.350004196166992,11,2,PERRO
animal,0,read,144,animal,10.200004577636719,12,2,PERRO
animal,0,read,144,animal,11.050004959106445,13,2,PERRO
tool,0,read,145,tool,18.700008392333984,22,35,CUCHILLO
tool,0,read,145,tool,19.55000877380371,23,35,CUCHILLO
tool,0,read,145,tool,20.400009155273438,24,35,CUCHILLO
tool,0,read,145,tool,21.250009536743164,25,35,CUCHILLO
tool,0,read,145,tool,22.10000991821289,26,35,CUCHILLO
tool,0,read,145,tool,22.950010299682617,27,35,CUCHILLO
animal,0,read,146,animal,30.600013732910156,36,13,TORTUGA
animal,0,read,146,animal,31.450014114379883,37,13,TORTUGA
animal,0,read,146,animal,32.30001449584961,38,13,TORTUGA
animal,0,read,146,animal,33.150014877319336,39,13,TORTUGA
animal,0,read,146,animal,34.00001525878906,40,13,TORTUGA
animal,0,read,146,animal,34.85001564025879,41,13,TORTUGA
tool,0,read,147,tool,43.350019454956055,51,32,TORNILLO
tool,0,read,147,tool,44.20001983642578,52,32,TORNILLO
tool,0,read,147,tool,45.05002021789551,53,32,TORNILLO
tool,0,read,147,tool,45.900020599365234,54,32,TORNILLO
tool,0,read,147,tool,46.75002098083496,55,32,TORNILLO
tool,0,read,147,tool,47.60002136230469,56,32,TORNILLO
animal,0,read,148,animal,56.10002517700195,66,5,GORILA
animal,0,read,148,animal,56.95002555847168,67,5,GORILA
animal,0,read,148,animal,57.800025939941406,68,5,GORILA
animal,0,read,148,animal,58.65002632141113,69,5,GORILA
animal,0,read,148,animal,59.50002670288086,70,5,GORILA
animal,0,read,148,animal,60.350027084350586,71,5,GORILA
animal,0,read,149,animal,68.85003089904785,81,10,GALLINA
animal,0,read,149,animal,69.70003128051758,82,10,GALLINA
animal,0,read,149,animal,70.5500316619873,83,10,GALLINA
animal,0,read,149,animal,71.40003204345703,84,10,GALLINA
animal,0,read,149,animal,72.25003242492676,85,10,GALLINA
animal,0,read,149,animal,73.10003280639648,86,10,GALLINA
tool,0,read,150,tool,81.60003662109375,96,29,CEPILLO
tool,0,read,150,tool,82.45003700256348,97,29,CEPILLO
tool,0,read,150,tool,83.3000373840332,98,29,CEPILLO
tool,0,read,150,tool,84.15003776550293,99,29,CEPILLO
tool,0,read,150,tool,85.00003814697266,100,29,CEPILLO
tool,0,read,150,tool,85.85003852844238,101,29,CEPILLO
animal,0,read,151,animal,93.50004196166992,110,14,PANTERA
animal,0,read,151,animal,94.35004234313965,111,14,PANTERA
animal,0,read,151,animal,95.20004272460938,112,14,PANTERA
animal,0,read,151,animal,96.0500431060791,113,14,PANTERA
animal,0,read,151,animal,96.90004348754883,114,14,PANTERA
animal,0,read,151,animal,97.75004386901855,115,14,PANTERA
animal,0,read,152,animal,106.25004768371582,125,15,CAMELLO
animal,0,read,152,animal,107.10004806518555,126,15,CAMELLO
animal,0,read,152,animal,107.95004844665527,127,15,CAMELLO
animal,0,read,152,animal,108.800048828125,128,15,CAMELLO
animal,0,read,152,animal,109.65004920959473,129,15,CAMELLO
animal,0,read,152,animal,110.50004959106445,130,15,CAMELLO
tool,0,read,153,tool,117.30005264282227,138,23,SIERRA
tool,0,read,153,tool,118.15005302429199,139,23,SIERRA
tool,0,read,153,tool,119.00005340576172,140,23,SIERRA
tool,0,read,153,tool,119.85005378723145,141,23,SIERRA
tool,0,read,153,tool,120.70005416870117,142,23,SIERRA
tool,0,read,153,tool,121.5500545501709,143,23,SIERRA
tool,0,read,153,tool,122.40005493164062,144,23,SIERRA
animal,0,read,154,animal,129.20005798339844,152,17,CANGURO
animal,0,read,154,animal,130.05005836486816,153,17,CANGURO
animal,0,read,154,animal,130.9000587463379,154,17,CANGURO
animal,0,read,154,animal,131.75005912780762,155,17,CANGURO
animal,0,read,154,animal,132.60005950927734,156,17,CANGURO
animal,0,read,154,animal,133.45005989074707,157,17,CANGURO
animal,0,read,155,animal,141.1000633239746,166,16,ELEFANTE
animal,0,read,155,animal,141.95006370544434,167,16,ELEFANTE
animal,0,read,155,animal,142.80006408691406,168,16,ELEFANTE
animal,0,read,155,animal,143.6500644683838,169,16,ELEFANTE
animal,0,read,155,animal,144.50006484985352,170,16,ELEFANTE
animal,0,read,155,animal,145.35006523132324,171,16,ELEFANTE
tool,0,read,156,tool,153.8500690460205,181,19,LAPIZ
tool,0,read,156,tool,154.70006942749023,182,19,LAPIZ
tool,0,read,156,tool,155.55006980895996,183,19,LAPIZ
tool,0,read,156,tool,156.4000701904297,184,19,LAPIZ
tool,0,read,156,tool,157.2500705718994,185,19,LAPIZ
tool,0,read,156,tool,158.10007095336914,186,19,LAPIZ
animal,0,read,157,animal,165.75007438659668,195,12,BALLENA
animal,0,read,157,animal,166.6000747680664,196,12,BALLENA
animal,0,read,157,animal,167.45007514953613,197,12,BALLENA
animal,0,read,157,animal,168.30007553100586,198,12,BALLENA
animal,0,read,157,animal,169.1500759124756,199,12,BALLENA
animal,0,read,157,animal,170.0000762939453,200,12,BALLENA
tool,0,read,158,tool,178.50008010864258,210,28,NAVAJA
tool,0,read,158,tool,179.3500804901123,211,28,NAVAJA
tool,0,read,158,tool,180.20008087158203,212,28,NAVAJA
tool,0,read,158,tool,181.05008125305176,213,28,NAVAJA
tool,0,read,158,tool,181.90008163452148,214,28,NAVAJA
tool,0,read,158,tool,182.7500820159912,215,28,NAVAJA
tool,0,read,159,tool,190.40008544921875,224,26,ALICATE
tool,0,read,159,tool,191.25008583068848,225,26,ALICATE
tool,0,read,159,tool,192.1000862121582,226,26,ALICATE
tool,0,read,159,tool,192.95008659362793,227,26,ALICATE
tool,0,read,159,tool,193.80008697509766,228,26,ALICATE
tool,0,read,159,tool,194.65008735656738,229,26,ALICATE
tool,0,read,160,tool,202.30009078979492,238,30,TALADRO
tool,0,read,160,tool,203.15009117126465,239,30,TALADRO
tool,0,read,160,tool,204.00009155273438,240,30,TALADRO
tool,0,read,160,tool,204.8500919342041,241,30,TALADRO
tool,0,read,160,tool,205.70009231567383,242,30,TALADRO
tool,0,read,160,tool,206.55009269714355,243,30,TALADRO
tool,0,read,161,tool,214.2000961303711,252,22,PINZA
tool,0,read,161,tool,215.05009651184082,253,22,PINZA
tool,0,read,161,tool,215.90009689331055,254,22,PINZA
tool,0,read,161,tool,216.75009727478027,255,22,PINZA
tool,0,read,161,tool,217.60009765625,256,22,PINZA
tool,0,read,161,tool,218.45009803771973,257,22,PINZA
tool,0,read,162,tool,226.10010147094727,266,20,TIJERA
tool,0,read,162,tool,226.950101852417,267,20,TIJERA
tool,0,read,162,tool,227.80010223388672,268,20,TIJERA
tool,0,read,162,tool,228.65010261535645,269,20,TIJERA
tool,0,read,162,tool,229.50010299682617,270,20,TIJERA
tool,0,read,162,tool,230.3501033782959,271,20,TIJERA
animal,0,read,163,animal,238.00010681152344,280,8,ARDILLA
animal,0,read,163,animal,238.85010719299316,281,8,ARDILLA
animal,0,read,163,animal,239.7001075744629,282,8,ARDILLA
animal,0,read,163,animal,240.55010795593262,283,8,ARDILLA
animal,0,read,163,animal,241.40010833740234,284,8,ARDILLA
animal,0,read,163,animal,242.25010871887207,285,8,ARDILLA
tool,0,read,164,tool,249.9001121520996,294,25,PINCEL
tool,0,read,164,tool,250.75011253356934,295,25,PINCEL
tool,0,read,164,tool,251.60011291503906,296,25,PINCEL
tool,0,read,164,tool,252.4501132965088,297,25,PINCEL
tool,0,read,164,tool,253.30011367797852,298,25,PINCEL
tool,0,read,164,tool,254.15011405944824,299,25,PINCEL
tool,0,read,166,tool,273.70012283325195,322,33,CUCHARA
tool,0,read,166,tool,274.5501232147217,323,33,CUCHARA
tool,0,read,166,tool,275.4001235961914,324,33,CUCHARA
tool,0,read,166,tool,276.25012397766113,325,33,CUCHARA
tool,0,read,166,tool,277.10012435913086,326,33,CUCHARA
tool,0,read,166,tool,277.9501247406006,327,33,CUCHARA
tool,0,read,167,tool,285.6001281738281,336,34,MARTILLO
tool,0,read,167,tool,286.45012855529785,337,34,MARTILLO
tool,0,read,167,tool,287.3001289367676,338,34,MARTILLO
tool,0,read,167,tool,288.1501293182373,339,34,MARTILLO
tool,0,read,167,tool,289.00012969970703,340,34,MARTILLO
tool,0,read,167,tool,289.85013008117676,341,34,MARTILLO
tool,0,read,168,tool,297.5001335144043,350,31,SOPLETE
tool,0,read,168,tool,298.350133895874,351,31,SOPLETE
tool,0,read,168,tool,299.20013427734375,352,31,SOPLETE
tool,0,read,168,tool,300.0501346588135,353,31,SOPLETE
tool,0,read,168,tool,300.9001350402832,354,31,SOPLETE
tool,0,read,168,tool,301.75013542175293,355,31,SOPLETE
animal,0,read,169,animal,309.40013885498047,364,6,BURRO
animal,0,read,169,animal,310.2501392364502,365,6,BURRO
animal,0,read,169,animal,311.1001396179199,366,6,BURRO
animal,0,read,169,animal,311.95013999938965,367,6,BURRO
animal,0,read,169,animal,312.8001403808594,368,6,BURRO
animal,0,read,169,animal,313.6501407623291,369,6,BURRO
animal,0,read,170,animal,321.30014419555664,378,4,CERDO
animal,0,read,170,animal,322.15014457702637,379,4,CERDO
animal,0,read,170,animal,323.0001449584961,380,4,CERDO
animal,0,read,170,animal,323.8501453399658,381,4,CERDO
animal,0,read,170,animal,324.70014572143555,382,4,CERDO
animal,0,read,170,animal,325.5501461029053,383,4,CERDO
tool,0,read,171,tool,333.2001495361328,392,24,CLAVO
tool,0,read,171,tool,334.05014991760254,393,24,CLAVO
tool,0,read,171,tool,334.90015029907227,394,24,CLAVO
tool,0,read,171,tool,335.750150680542,395,24,CLAVO
tool,0,read,171,tool,336.6001510620117,396,24,CLAVO
tool,0,read,171,tool,337.45015144348145,397,24,CLAVO
animal,0,read,172,animal,345.100154876709,406,0,TIGRE
animal,0,read,172,animal,345.9501552581787,407,0,TIGRE
animal,0,read,172,animal,346.80015563964844,408,0,TIGRE
animal,0,read,172,animal,347.65015602111816,409,0,TIGRE
animal,0,read,172,animal,348.5001564025879,410,0,TIGRE
animal,0,read,172,animal,349.3501567840576,411,0,TIGRE
animal,0,read,173,animal,357.00016021728516,420,1,GALLO
animal,0,read,173,animal,357.8501605987549,421,1,GALLO
animal,0,read,173,animal,358.7001609802246,422,1,GALLO
animal,0,read,173,animal,359.55016136169434,423,1,GALLO
animal,0,read,173,animal,360.40016174316406,424,1,GALLO
animal,0,read,173,animal,361.2501621246338,425,1,GALLO
animal,0,read,174,animal,369.75016593933105,435,11,CABALLO
animal,0,read,174,animal,370.6001663208008,436,11,CABALLO
animal,0,read,174,animal,371.4501667022705,437,11,CABALLO
animal,0,read,174,animal,372.30016708374023,438,11,CABALLO
animal,0,read,174,animal,373.15016746520996,439,11,CABALLO
animal,0,read,174,animal,374.0001678466797,440,11,CABALLO
animal,0,read,175,animal,380.8001708984375,448,7,YEGUA
animal,0,read,175,animal,381.6501712799072,449,7,YEGUA
animal,0,read,175,animal,382.50017166137695,450,7,YEGUA
animal,0,read,175,animal,383.3501720428467,451,7,YEGUA
