aguja,alicate,ardilla,ballena,burro,caballo,camello,canguro,cepillo,cerdo,clavo,conejo,cuchara,cuchillo,elefante,gallina,gallo,gorila,lapiz,llave,martillo,navaja,oveja,pantera,perro,pincel,pinza,sierra,soplete,taladro,tigre,tijera,tornillo,tortuga,tuerca,yegua
-0.122307,-0.248946,-0.268875,-0.237327,-0.157917,0.02915,-0.194428,-0.301525,0.022108,-0.39871,-0.430904,-0.228181,0.1898,0.350732,-0.429118,-0.275434,0.139756,-0.318524,-0.154248,0.322789,0.585447,0.243104,-0.118604,0.20467,-0.041334,0.056414,0.21689,-0.090912,-0.637686,0.112389,0.063534,0.061832,-0.185961,-0.448517,0.145289,-0.141554
-0.667715,-0.448873,-0.526864,0.166728,0.012207,0.601208,0.200125,-0.058548,0.245487,-0.004,-0.051715,-0.486382,-0.058948,0.429342,0.387277,-0.203997,0.501727,0.040192,-0.446598,0.072582,0.115139,0.443619,0.074111,-0.613184,0.328073,-0.207619,0.21238,-0.269686,-0.375934,-0.86301,0.274647,0.218978,-0.424284,-0.199335,-0.225273,0.325709
0.004873,-0.301796,-0.142297,0.042171,-0.119208,0.037365,-0.505885,-0.057082,-0.261738,-0.319333,-0.22311,-0.022906,-0.09199,-0.014471,-0.586195,-0.735983,-0.107361,-0.261249,-0.261798,-0.21481,-0.0382,0.414049,0.148969,0.328355,-0.010759,-0.397974,0.176185,-0.143859,0.441821,-0.161701,-0.598944,0.308171,-0.260201,0.29508,0.349851,-0.239636
-0.209491,-0.236181,-0.573463,-0.192103,-0.11885,-0.549462,-0.55922,-0.740048,-0.20045,-0.424131,0.094307,0.080784,-0.007582,-0.338499,-0.145634,0.292765,0.091794,-0.550196,0.059242,0.205666,-0.013855,-0.403611,-0.610472,-0.341398,-0.374964,-0.008476,-0.536323,0.41288,0.234216,0.06278,-0.337158,-0.289485,0.496671,0.426009,0.731645,-0.324163
-0.218738,-0.361918,0.554292,0.08393,0.168005,0.231749,0.023772,-0.198585,0.237148,0.277973,-0.02785,0.289143,0.09979,0.270066,0.174102,0.500788,0.479711,-0.103735,-0.176524,-0.297459,-0.224546,0.555747,0.692651,-0.494888,0.622896,-0.006889,-0.457459,0.520367,-0.075907,0.276632,-0.209671,0.176296,-0.182906,0.055787,-0.223066,0.42415
0.654362,-0.185271,0.280779,0.372696,0.314531,0.599244,0.439945,-0.25767,0.606366,0.718836,0.345934,0.335113,0.444501,0.584154,0.862828,0.422569,0.77848,0.210156,-0.493485,-0.057694,-0.022175,0.649244,0.212598,0.464013,0.010912,0.391238,-0.178583,0.491369,-0.035742,0.094418,0.10103,0.099185,0.73862,0.221202,0.373549,0.080253
0.965216,-0.057685,0.044793,-0.340782,-0.031478,0.102311,-0.156247,-0.592218,0.044279,-0.915814,0.140586,-0.255697,0.261071,0.639579,-0.095998,-0.19376,-0.338482,-0.136046,0.396302,0.455697,0.06097,0.639357,-0.133584,-0.509911,-0.123045,0.416413,-0.372929,0.163934,-0.021041,0.035912,0.457528,-0.364527,-0.179793,1.018683,-0.038762,0.185012
0.058737,-0.573001,0.005758,-0.190459,0.02379,0.204757,0.267568,0.022015,-0.661283,0.325026,-0.157274,0.000223,0.257738,-0.212211,0.244305,0.141793,-0.049828,0.276824,0.002163,0.427332,0.131571,-0.274109,0.324785,-0.005484,-0.282351,-0.242792,0.274847,0.293362,-0.227266,0.064357,-0.079161,0.01939,-0.201454,0.165127,0.263598,-0.327671
-0.107128,0.179488,-0.159848,-0.343912,0.471858,0.305405,0.271821,0.086245,-0.128043,-0.237246,0.545868,0.127946,-0.111688,0.308978,-0.107318,0.249631,-0.133879,-0.167806,-0.045243,0.411334,-0.161479,0.433116,0.366768,-0.379053,0.414819,0.301227,-0.067678,-0.060599,0.393218,-0.211556,-0.08351,-0.034304,0.576377,-0.084022,0.054227,0.149669
0.142171,-0.170807,-0.123427,0.077793,-0.153608,-0.278785,-0.194531,0.046658,-0.064099,-0.465168,-0.037744,0.244908,0.257533,0.641351,0.40494,0.429407,0.514383,-0.350219,0.623642,0.027056,0.344173,0.761301,-0.40008,-0.148696,0.224008,0.544425,0.639578,-0.476733,0.241879,0.389806,0.079311,0.444105,0.457071,0.266547,0.140502,-0.197617
0.232931,-0.193243,-0.734813,-0.202612,-0.392032,0.043235,-0.177615,-0.697397,-0.121056,-0.766659,-0.123351,-0.493426,0.511741,-0.41251,0.031292,-0.15734,0.455077,-0.020574,-0.333282,0.654485,0.175689,-0.120379,-0.170174,0.020047,-0.279786,-0.07573,0.125531,0.225576,0.104739,0.075313,-0.295109,0.110136,0.177185,-0.332601,0.529371,0.122434
-0.100108,-0.615612,-0.084855,-0.21545,-0.238733,-0.627893,-0.281415,-0.240568,-0.146048,-0.228791,0.010914,-0.329565,0.089761,-0.018377,-0.340516,0.070638,-0.337775,-0.298666,-0.095415,-0.131126,-0.407242,0.294363,-0.111409,-0.536443,-0.362011,-0.17843,-0.295537,-0.165906,-0.084234,-0.490536,-0.931677,-0.472679,-0.524506,-0.185082,-0.177502,0.02325
0.012128,-0.268048,0.715925,-0.002669,-0.276954,-0.238625,-0.220491,-0.077037,0.100929,0.373963,0.038718,0.374428,-0.188313,0.116749,-0.433957,0.056531,0.628738,0.018681,0.220161,-0.063918,0.347502,0.475578,0.363873,0.295919,-0.077665,0.346274,0.013187,0.446844,0.078835,-0.438585,0.090575,0.063853,-0.626412,0.027473,-0.010367,0.191491
-0.199123,0.024588,-0.571509,-0.785713,-0.307508,-0.293696,-0.374538,-0.300442,-0.131195,-0.149489,-0.327663,-0.24509,-0.680438,-0.611583,-0.708206,-0.685869,-0.293967,-0.320763,0.066024,-0.26362,-0.590239,-0.666282,-0.791473,-0.271566,-0.274218,-0.228274,0.060379,-0.045549,-0.343367,-0.686387,-0.553772,-0.338561,0.218378,-0.676158,-0.154213,-0.465207
0.044701,0.177353,-0.884816,0.59463,0.026126,0.102689,-0.084491,0.025035,0.029046,0.067328,0.192793,-0.215904,-0.291134,0.566124,-0.122225,-0.017068,-0.367691,-0.094436,0.230841,-0.116094,0.050519,-0.050457,-0.255397,-0.480218,0.351181,-0.423747,0.120544,-0.677163,0.573237,-0.077646,-0.445154,0.114176,0.471814,-0.499752,0.192981,-0.330864
-0.360476,-0.339922,-0.577832,0.16113,-0.111365,-0.359727,0.033838,-0.220043,-0.083727,-0.275524,-0.181082,-0.137856,-0.320724,-0.42421,-0.135125,-0.291872,0.171966,-0.39001,-0.258895,0.169288,0.122963,-0.277197,-0.296958,-0.682512,-0.270284,-0.829579,-0.656967,-0.637226,-0.157141,-0.117784,0.454319,-0.457819,0.009408,-0.620796,0.151403,-0.16001
0.268975,0.1118,0.250954,-0.127211,-0.057657,-0.028889,-0.369198,-0.218496,-0.162205,0.416995,0.106647,0.279359,0.240938,0.052643,-0.118442,0.051163,0.149024,-0.443151,-0.199452,-0.034437,0.372843,-0.133072,-0.252053,-0.467148,-0.092902,-0.04977,-0.142466,-0.445173,0.354515,0.657932,0.048765,-0.215376,0.24426,-0.1649,0.263704,-0.415131
-0.378484,0.197578,-0.594732,-0.408014,0.202345,-0.130265,-0.191338,-0.097656,-0.190177,0.680782,0.466672,-0.087962,0.061683,0.518195,-0.199775,0.143329,0.290072,-0.076357,-0.27999,0.156164,0.484877,0.51982,0.118878,0.403041,-0.317777,-0.284213,-0.353091,0.118029,0.139059,0.186431,-0.028703,-0.172066,0.607694,-0.02391,-0.0818,0.117978
-0.735152,-0.152274,0.298846,0.723251,-0.286191,-0.242217,-0.184042,0.444317,-0.347845,-0.1115,-0.591178,-0.05649,-0.424297,0.160536,-0.110395,-0.406095,-0.9768,0.127868,-0.378494,-0.206605,-0.236145,0.040068,-0.022175,0.219032,0.36768,-0.42786,-0.165882,0.001331,0.039826,-0.177395,-0.189405,-0.431828,0.059181,0.250744,-0.300607,0.184282
-0.695409,-0.492682,0.184241,-0.492697,0.398655,0.299384,0.479856,0.469746,-0.564545,0.478665,0.068007,0.415641,0.079862,-0.63885,0.345519,0.498854,0.484826,0.037663,0.000462,-0.065902,-0.536237,-0.368507,0.324845,0.224315,0.30972,-0.110174,0.17717,-0.152915,-0.601405,-0.460455,0.272881,-0.282375,-0.405291,-0.29999,0.075968,-0.218716
0.582498,-0.113444,0.635415,0.344525,0.123951,0.024485,0.247573,0.329454,0.416163,0.268036,0.037358,0.303718,0.359344,-0.054962,0.172028,0.142164,0.143337,0.217641,0.063934,0.089725,0.337328,0.368347,-0.227549,0.475327,0.06096,0.306786,0.53498,-0.287615,-0.147548,-0.445135,0.041883,-0.075901,0.722042,0.131894,0.391734,-0.070721
0.242135,0.127008,0.02625,-0.259172,-0.461464,-0.826514,-0.118446,0.280998,-0.188463,-0.061005,-0.103172,-0.339805,-0.454568,-0.378546,-0.02342,-0.551013,-0.556161,0.38431,-0.298582,-0.136952,-0.348466,-0.369135,0.256967,0.409906,0.469261,-0.416695,-0.117789,-0.022753,-0.042271,0.130704,0.373751,-0.146903,-0.281465,0.093552,-0.353521,-0.32793
-0.018918,0.180405,0.619172,-0.348638,-0.173145,-0.362959,-0.166453,0.165314,0.38996,-0.536028,0.147108,0.514873,0.662181,0.114259,0.15504,-0.562859,-0.177868,0.142717,0.043098,0.479044,0.112309,-0.10588,-0.145554,0.115224,-0.191649,-0.013043,0.102747,0.385252,0.352645,0.416331,0.232163,0.42553,0.28658,-0.193951,-0.153937,-0.376719
-0.170084,0.03311,0.241047,-0.18682,-0.004667,-0.253612,0.280896,0.346199,0.133459,-0.291663,0.021597,0.061016,-0.331939,0.248123,-0.232689,-0.084811,0.379924,-0.170771,-0.496983,0.259122,0.341321,0.108018,0.143986,0.380704,-0.307582,-0.029067,0.028197,0.632506,0.594416,0.182261,-0.392094,0.391201,0.044616,-0.354071,0.355048,-0.286873
0.421272,0.01068,0.091262,0.114444,-0.170932,-0.099745,-0.00648,-0.195358,0.618841,0.67336,0.653511,-0.308901,0.512405,0.623613,0.361074,0.416028,0.191544,-0.133401,0.008339,0.567685,0.91284,0.788156,0.609347,-0.07021,0.114464,1.015291,0.259902,-0.35165,0.339246,0.644842,-0.239976,0.001375,0.706914,-0.065537,0.267058,-0.23663
-0.163342,0.256856,-0.053093,-0.191485,-0.215914,-0.312971,-0.130885,-0.268471,-0.030448,-0.23542,-0.29587,-0.533088,-0.121554,-0.333105,-0.348845,-0.027989,-0.490409,-0.324834,0.162429,0.157807,-0.359033,0.013376,0.502583,0.027766,-0.20619,0.196499,0.485026,0.137158,-0.183824,-0.284153,0.11885,0.026976,0.23348,-0.239306,0.516963,-9.8e-05
0.250027,-0.05532,-0.259643,-0.238547,-0.137685,-0.432982,-0.09407,0.308167,0.090496,0.073305,0.489439,0.183773,0.071738,0.002122,0.178417,0.252305,-0.029681,-0.087932,-0.133884,0.296325,0.339887,-0.135167,0.178362,-0.214241,-0.286029,0.377381,0.529714,-0.012223,-0.382148,-0.036311,0.407061,0.193327,-0.056543,0.193666,0.286871,0.115064
0.382877,-0.347303,0.428963,0.029671,0.265604,0.320533,0.143299,-0.168811,-0.468098,-0.097489,-0.075529,-0.3055,-0.383109,-0.299306,0.307294,-0.143593,-0.119989,0.116577,-0.525881,0.134952,-0.036047,-0.015553,0.29634,0.688531,0.53764,-0.449513,-0.426575,0.044177,-0.227975,-0.446227,0.459284,-0.315089,0.297707,0.521677,-0.000928,0.161345
-0.28984,-0.028164,-0.469131,-0.256096,-0.405607,-0.446525,-0.221057,0.01324,-0.046144,-0.162551,0.160974,-0.444518,-0.219534,-0.456548,0.141553,-0.594049,-0.344637,0.123125,-0.665008,-0.145275,-0.059365,-0.901458,-0.609794,-0.156872,-0.220203,-0.869155,0.13838,-0.528797,-0.110196,0.117389,0.679886,-0.083748,-0.052877,-0.535155,-0.160585,-0.423159
-0.035087,-0.212478,-0.185189,0.320334,0.166892,0.122351,0.017316,0.667104,0.274901,-0.011929,-0.208746,0.149368,0.433694,0.489367,-0.218427,-0.55009,-0.468131,0.09179,0.228821,0.67043,-0.015443,0.442532,-0.247032,-0.192885,0.165948,-0.390763,0.427167,0.397658,0.663051,0.403567,-0.185319,0.362447,-0.160171,0.106771,-0.028251,0.325292
