aguja,alicate,ardilla,ballena,burro,caballo,camello,canguro,cepillo,cerdo,clavo,conejo,cuchara,cuchillo,elefante,gallina,gallo,gorila,lapiz,llave,martillo,navaja,oveja,pantera,perro,pincel,pinza,sierra,soplete,taladro,tigre,tijera,tornillo,tortuga,tuerca,yegua
-0.25841,-0.063108,0.27594,0.14636,0.041797,-0.088472,-0.20116,-0.059157,-0.30783,0.00056506,-0.14298,-0.1285,-0.083447,-0.23805,0.047056,-0.066569,-0.10857,-0.15262,-0.11649,-0.071881,-0.22698,-0.072069,0.059794,-0.13747,-0.22821,-0.15681,-0.19588,0.58236,0.33754,-0.40272,-0.14469,-0.12328,-0.24642,0.25557,-0.20385,0.23021
0.013317,-0.59595,-0.30884,-0.38869,-0.23189,-0.29167,-0.50316,-0.23207,-0.70199,-0.10819,-0.56308,-0.13396,-0.136,-0.25614,-0.49057,-0.23929,-0.39545,-0.45123,-0.28344,-0.25689,-0.10755,-0.39415,-0.14561,-0.33355,-0.39958,-0.47788,-0.52296,-0.070964,-0.68166,-0.27413,-0.2739,-0.46787,-0.42451,-0.37483,-0.27353,-0.18529
-0.059399,0.17037,-0.13876,-0.24434,0.29647,0.29227,-0.069595,-0.18346,-0.19833,-0.27191,0.10505,0.04031,0.08742,0.13601,0.28196,0.084668,0.15325,0.13257,0.59531,0.17077,-0.32622,0.35102,-0.065532,-0.11558,0.18105,0.2159,0.21635,0.40026,0.10491,0.00023756,0.40692,0.38,0.34546,-0.16959,0.14815,0.12629
-0.21802,-0.031892,-0.12996,-0.13724,0.17664,-0.073231,-0.097863,-0.028181,-0.17649,-0.62178,-0.60692,-0.097272,-0.38113,-0.26784,-0.38301,-0.13529,0.11851,-0.031217,0.081818,-0.58304,-0.35948,-0.11654,-0.32347,-0.35326,-0.19192,-0.0068118,-0.42669,0.18334,-0.42927,-0.69086,-0.15483,-0.17066,-0.51621,-0.20729,-0.22326,-0.266
-0.32233,-0.39459,-0.41457,-0.50106,-0.11363,0.059725,0.029387,-0.11299,-0.51228,-0.20827,-0.24799,-0.10276,-0.44886,-0.01454,-0.27502,-0.058462,-0.14642,0.046188,-0.013177,-0.18825,-0.13107,-0.036129,-0.23908,-0.065563,0.11347,-0.047246,0.023886,-0.30197,-0.069545,-0.31457,-0.1023,-0.23854,-0.1501,-0.55447,0.25846,-0.17333
-0.1464,-0.032998,-0.13093,-0.13932,-0.24858,0.039226,-0.11087,-0.091294,-0.1717,-0.304,-0.11182,-0.35314,0.079915,0.037595,0.14254,-0.044647,-0.058473,-0.30475,-0.38808,-0.018263,0.14407,0.10162,-0.38597,0.04065,0.24817,0.1174,-0.27506,-0.029948,-0.43596,0.144,0.14186,0.17183,0.17232,-0.026669,0.32004,0.20775
-0.2931,-0.17038,0.52913,-0.39401,-0.13182,0.119,-0.27415,0.34561,0.010324,-0.19992,-0.051016,0.21841,0.0015491,-0.092729,0.13631,-0.072472,-0.036112,0.072755,0.012319,-0.018344,-0.15199,-0.16339,-0.32455,0.25889,0.075257,-0.16595,-0.19688,-0.62046,0.18432,0.15546,0.28949,-0.31335,-0.037597,-0.25804,-0.48184,-0.26466
0.10849,0.33391,0.16709,0.090413,-0.046586,-0.12662,0.18157,-0.20176,0.14994,0.014991,0.50243,0.17827,0.40547,0.255,-0.012402,-0.12386,0.096682,-0.095324,0.35592,0.9596,0.50554,0.044206,-0.23333,0.084665,-0.020229,0.2483,0.51274,0.10556,0.56467,0.47446,0.17394,0.34611,0.41356,0.34782,0.23031,-0.17575
0.17737,0.05831,0.078955,0.15143,0.12272,0.20571,0.038196,0.27098,0.086256,-0.17421,0.015114,-0.068999,0.11706,0.052972,0.089645,0.13117,0.4555,0.13032,0.24453,0.021578,-0.048176,0.10528,-0.063749,0.075324,-0.063913,-0.25092,-0.11539,0.19516,-0.042589,-0.10369,0.35915,0.46252,-0.052235,0.045084,-0.059385,0.09176
0.091588,0.094809,0.30576,0.021626,0.044624,-0.32021,-0.1044,0.3381,0.23218,-0.38045,-0.16677,0.39475,0.082373,-0.25345,0.086989,-0.092137,0.35795,0.22448,0.38108,0.20247,0.034319,-0.24434,-0.14207,0.19052,-0.11026,0.1813,0.1271,0.035859,0.092403,-0.21597,-0.14685,0.16086,-0.4908,0.16828,-0.19532,-0.083308
