aguja,alicate,ardilla,ballena,burro,caballo,camello,canguro,cepillo,cerdo,clavo,conejo,cuchara,cuchillo,elefante,gallina,gallo,gorila,lapiz,llave,martillo,navaja,oveja,pantera,perro,pincel,pinza,sierra,soplete,taladro,tigre,tijera,tornillo,tortuga,tuerca,yegua
-0.02524,-0.071964,0.050338,0.051354,-0.105274,-0.038545,-0.049719,-0.016735,-0.050645,0.087578,-0.023404,0.041595,0.020035,-0.062053,-0.01914,0.03916,0.006364,0.003595,0.002438,-0.060212,-0.087556,-0.05401,0.050533,0.035614,0.029371,-0.042954,-0.005412,-0.007401,-0.030555,0.017878,0.085714,-0.00428,0.041102,-0.005896,0.051145,0.031884
-0.053436,-0.105562,-0.019614,-0.087832,-0.084809,-0.104534,-0.082391,-0.048464,-0.024969,-0.031089,-0.028727,-0.046264,-0.088478,-0.038837,-0.135553,-0.017767,-0.054718,-0.015998,-0.04744,-0.022159,-0.036041,-0.011171,-0.021236,0.076971,-0.07669,-0.10571,-0.015399,0.055866,-0.000934,0.039361,-0.023365,0.005577,-0.027069,-0.037083,0.013014,-0.061042
-0.025991,-0.053163,-0.011286,-0.042053,-0.123026,-0.051854,-0.065163,-0.016744,-0.074425,-0.076561,-0.055892,-0.060803,-0.023838,-0.008283,-0.01975,-0.055508,-0.120134,-0.002918,-0.027606,-0.005788,-0.001089,-0.056332,-0.049105,-0.047786,-0.059549,0.026863,0.022332,0.048096,-0.011589,-0.006612,0.02538,-0.067788,-0.07308,0.007864,-0.080141,-0.028107
0.071507,0.025507,0.094059,0.079663,0.070695,0.119227,0.116502,0.090712,0.026725,0.010887,-0.004808,0.074719,-0.02145,0.030877,0.032903,-0.008811,0.059576,0.058771,0.053756,0.006153,0.054169,0.078664,0.076132,0.041246,0.073077,-0.027788,0.050647,-0.009063,0.051188,0.020097,0.11161,-0.005403,0.043997,0.073591,-0.017507,0.085279
-0.033388,0.031022,0.034945,-0.036815,0.029721,-0.008687,-0.060112,-0.008553,0.028685,0.008555,-0.04226,-0.00192,-0.039089,-0.014399,-0.06161,-0.058015,-0.052605,-0.020593,-0.042544,-0.083812,0.02598,-0.056675,0.033669,-0.066322,0.027779,0.01161,-0.096686,-0.038865,-0.006552,-0.002856,-0.030339,-0.01829,0.06917,-0.054414,-0.01675,0.006543
0.115043,0.067359,0.055794,0.003793,-0.00869,-0.002279,0.091663,0.056912,0.09561,-0.028927,0.082554,0.039788,0.041884,0.027167,0.031185,-0.001989,-0.010754,-0.029613,-0.031838,0.038281,0.009059,2.2e-05,-0.038945,0.0795,-0.006842,0.004154,0.01088,-0.00947,-0.059938,0.057856,0.037333,0.004212,0.091962,0.068957,0.101665,-0.042986
-0.031632,-0.079088,0.029385,-0.042364,-0.020371,-0.059998,-0.022376,-0.014979,0.044064,-0.109631,-0.001583,-0.034957,0.004589,-0.023678,-0.058446,-0.004232,0.011451,-0.014495,-0.046068,-0.023738,0.011016,-0.020272,-0.018333,-0.047504,0.036182,-0.053178,-0.088977,-0.058631,-0.010455,0.0044,-0.007256,-0.007255,-0.126542,-0.00375,-0.011602,-0.00797
0.00185,-0.040354,-0.089879,0.018181,-0.098683,-0.067059,-0.126419,-0.117643,-0.035516,-0.073064,-0.095429,-0.028415,-0.002344,-0.081856,-0.074356,-0.011284,-0.070097,-0.128306,-0.014949,-0.017527,-0.024043,-0.056455,-0.002536,-0.093836,-0.095138,-0.062379,-0.085934,-0.006015,0.044139,0.03918,-0.056632,-0.039054,0.016749,-0.065826,0.011217,-0.083048
-0.00076,0.050136,0.029815,0.033521,0.126899,0.159511,0.131826,0.058174,0.047458,0.072933,0.023962,-0.032392,-0.028438,0.071876,0.152442,0.013544,0.077798,0.079055,-0.089455,0.088331,0.060541,0.044221,0.008081,0.037567,0.094554,-0.067857,0.08561,0.057165,0.04386,0.030782,0.086219,0.066617,0.01745,0.011707,-0.029106,0.087958
-0.013334,0.020331,0.057717,-0.039481,-0.061135,-0.073671,-0.049923,0.028785,0.062654,-0.099631,-0.020319,-0.020778,0.018322,0.051565,-0.05595,-0.012506,-0.061892,-0.078936,-0.005486,0.00301,-0.051762,0.116356,-0.094852,-0.059398,-0.027714,0.02324,0.015036,-0.059304,0.0224,-0.018447,-0.046231,0.070775,-0.009184,-0.008542,0.067919,-0.045108
