categories,chunks,context,id,targets,time_coords,time_indices,trials,words
animal,0,read,109,animal,18.700008392333984,22,6,BURRO
animal,0,read,109,animal,19.55000877380371,23,6,BURRO
animal,0,read,109,animal,20.400009155273438,24,6,BURRO
animal,0,read,109,animal,21.250009536743164,25,6,BURRO
animal,0,read,109,animal,22.10000991821289,26,6,BURRO
animal,0,read,109,animal,22.950010299682617,27,6,BURRO
tool,0,read,110,tool,30.600013732910156,36,32,TORNILLO
tool,0,read,110,tool,31.450014114379883,37,32,TORNILLO
tool,0,read,110,tool,32.30001449584961,38,32,TORNILLO
tool,0,read,110,tool,33.150014877319336,39,32,TORNILLO
tool,0,read,110,tool,34.00001525878906,40,32,TORNILLO
tool,0,read,110,tool,34.85001564025879,41,32,TORNILLO
tool,0,read,110,tool,35.700016021728516,42,32,TORNILLO
animal,0,read,111,animal,42.50001907348633,50,3,OVEJA
animal,0,read,111,animal,43.350019454956055,51,3,OVEJA
animal,0,read,111,animal,44.20001983642578,52,3,OVEJA
animal,0,read,111,animal,45.05002021789551,53,3,OVEJA
animal,0,read,111,animal,45.900020599365234,54,3,OVEJA
animal,0,read,111,animal,46.75002098083496,55,3,OVEJA
animal,0,read,112,animal,54.4000244140625,64,15,CAMELLO
animal,0,read,112,animal,55.25002479553223,65,15,CAMELLO
animal,0,read,112,animal,56.10002517700195,66,15,CAMELLO
animal,0,read,112,animal,56.95002555847168,67,15,CAMELLO
animal,0,read,112,animal,57.800025939941406,68,15,CAMELLO
animal,0,read,112,animal,58.65002632141113,69,15,CAMELLO
animal,0,read,113,animal,67.1500301361084,79,12,BALLENA
animal,0,read,113,animal,68.00003051757812,80,12,BALLENA
animal,0,read,113,animal,68.85003089904785,81,12,BALLENA
animal,0,read,113,animal,69.70003128051758,82,12,BALLENA
animal,0,read,113,animal,70.5500316619873,83,12,BALLENA
animal,0,read,113,animal,71.40003204345703,84,12,BALLENA
animal,0,read,114,animal,80.75003623962402,95,8,ARDILLA
animal,0,read,114,animal,81.60003662109375,96,8,ARDILLA
animal,0,read,114,animal,82.45003700256348,97,8,ARDILLA
animal,0,read,114,animal,83.3000373840332,98,8,ARDILLA
animal,0,read,114,animal,84.15003776550293,99,8,ARDILLA
animal,0,read,114,animal,85.00003814697266,100,8,ARDILLA
tool,0,read,115,tool,92.6500415802002,109,27,TUERCA
tool,0,read,115,tool,93.50004196166992,110,27,TUERCA
tool,0,read,115,tool,94.35004234313965,111,27,TUERCA
tool,0,read,115,tool,95.20004272460938,112,27,TUERCA
tool,0,read,115,tool,96.0500431060791,113,27,TUERCA
tool,0,read,115,tool,96.90004348754883,114,27,TUERCA
animal,0,read,116,animal,104.55004692077637,123,2,PERRO
animal,0,read,116,animal,105.4000473022461,124,2,PERRO
animal,0,read,116,animal,106.25004768371582,125,2,PERRO
animal,0,read,116,animal,107.10004806518555,126,2,PERRO
animal,0,read,116,animal,107.95004844665527,127,2,PERRO
animal,0,read,116,animal,108.800048828125,128,2,PERRO
tool,0,read,117,tool,116.45005226135254,137,34,MARTILLO
tool,0,read,117,tool,117.30005264282227,138,34,MARTILLO
tool,0,read,117,tool,118.15005302429199,139,34,MARTILLO
tool,0,read,117,tool,119.00005340576172,140,34,MARTILLO
tool,0,read,117,tool,119.85005378723145,141,34,MARTILLO
tool,0,read,117,tool,120.70005416870117,142,34,MARTILLO
tool,0,read,118,tool,129.20005798339844,152,35,CUCHILLO
tool,0,read,118,tool,130.05005836486816,153,35,CUCHILLO
tool,0,read,118,tool,130.9000587463379,154,35,CUCHILLO
tool,0,read,118,tool,131.75005912780762,155,35,CUCHILLO
tool,0,read,118,tool,132.60005950927734,156,35,CUCHILLO
tool,0,read,118,tool,133.45005989074707,157,35,CUCHILLO
animal,0,read,119,animal,141.1000633239746,166,11,CABALLO
animal,0,read,119,animal,141.95006370544434,167,11,CABALLO
animal,0,read,119,animal,142.80006408691406,168,11,CABALLO
animal,0,read,119,animal,143.6500644683838,169,11,CABALLO
animal,0,read,119,animal,144.50006484985352,170,11,CABALLO
animal,0,read,119,animal,145.35006523132324,171,11,CABALLO
tool,0,read,120,tool,153.8500690460205,181,23,SIERRA
tool,0,read,120,tool,154.70006942749023,182,23,SIERRA
tool,0,read,120,tool,155.55006980895996,183,23,SIERRA
tool,0,read,120,tool,156.4000701904297,184,23,SIERRA
tool,0,read,120,tool,157.2500705718994,185,23,SIERRA
tool,0,read,120,tool,158.10007095336914,186,23,SIERRA
tool,0,read,121,tool,164.90007400512695,194,21,AGUJA
tool,0,read,121,tool,165.75007438659668,195,21,AGUJA
tool,0,read,121,tool,166.6000747680664,196,21,AGUJA
tool,0,read,121,tool,167.45007514953613,197,21,AGUJA
tool,0,read,121,tool,168.30007553100586,198,21,AGUJA
tool,0,read,121,tool,169.1500759124756,199,21,AGUJA
tool,0,read,122,tool,176.80007934570312,208,29,CEPILLO
tool,0,read,122,tool,177.65007972717285,209,29,CEPILLO
tool,0,read,122,tool,178.50008010864258,210,29,CEPILLO
tool,0,read,122,tool,179.3500804901123,211,29,CEPILLO
tool,0,read,122,tool,180.20008087158203,212,29,CEPILLO
tool,0,read,122,tool,181.05008125305176,213,29,CEPILLO
animal,0,read,123,animal,188.7000846862793,222,1,GALLO
animal,0,read,123,animal,189.55008506774902,223,1,GALLO
animal,0,read,123,animal,190.40008544921875,224,1,GALLO
animal,0,read,123,animal,191.25008583068848,225,1,GALLO
animal,0,read,123,animal,192.1000862121582,226,1,GALLO
animal,0,read,123,animal,192.95008659362793,227,1,GALLO
tool,0,read,124,tool,202.30009078979492,238,20,TIJERA
tool,0,read,124,tool,203.15009117126465,239,20,TIJERA
tool,0,read,124,tool,204.00009155273438,240,20,TIJERA
tool,0,read,124,tool,204.8500919342041,241,20,TIJERA
tool,0,read,124,tool,205.70009231567383,242,20,TIJERA
tool,0,read,124,tool,206.55009269714355,243,20,TIJERA
tool,0,read,125,tool,213.35009574890137,251,25,PINCEL
tool,0,read,125,tool,214.2000961303711,252,25,PINCEL
tool,0,read,125,tool,215.05009651184082,253,25,PINCEL
tool,0,read,125,tool,215.90009689331055,254,25,PINCEL
tool,0,read,125,tool,216.75009727478027,255,25,PINCEL
tool,0,read,125,tool,217.60009765625,256,25,PINCEL
tool,0,read,125,tool,218.45009803771973,257,25,PINCEL
animal,0,read,126,animal,225.25010108947754,265,9,CONEJO
animal,0,read,126,animal,226.10010147094727,266,9,CONEJO
animal,0,read,126,animal,226.950101852417,267,9,CONEJO
animal,0,read,126,animal,227.80010223388672,268,9,CONEJO
animal,0,read,126,animal,228.65010261535645,269,9,CONEJO
animal,0,read,126,animal,229.50010299682617,270,9,CONEJO
tool,0,read,127,tool,238.00010681152344,280,19,LAPIZ
tool,0,read,127,tool,238.85010719299316,281,19,LAPIZ
tool,0,read,127,tool,239.7001075744629,282,19,LAPIZ
tool,0,read,127,tool,240.55010795593262,283,19,LAPIZ
tool,0,read,127,tool,241.40010833740234,284,19,LAPIZ
tool,0,read,127,tool,242.25010871887207,285,19,LAPIZ
animal,0,read,128,animal,249.9001121520996,294,16,ELEFANTE
animal,0,read,128,animal,250.75011253356934,295,16,ELEFANTE
animal,0,read,128,animal,251.60011291503906,296,16,ELEFANTE
animal,0,read,128,animal,252.4501132965088,297,16,ELEFANTE
animal,0,read,128,animal,253.30011367797852,298,16,ELEFANTE
animal,0,read,128,animal,254.15011405944824,299,16,ELEFANTE
tool,0,read,129,tool,261.8001174926758,308,26,ALICATE
tool,0,read,129,tool,262.6501178741455,309,26,ALICATE
tool,0,read,129,tool,263.50011825561523,310,26,ALICATE
tool,0,read,129,tool,264.35011863708496,311,26,ALICATE
tool,0,read,129,tool,265.2001190185547,312,26,ALICATE
tool,0,read,129,tool,266.0501194000244,313,26,ALICATE
tool,0,read,130,tool,273.70012283325195,322,28,NAVAJA
tool,0,read,130,tool,274.5501232147217,323,28,NAVAJA
tool,0,read,130,tool,275.4001235961914,324,28,NAVAJA
tool,0,read,130,tool,276.25012397766113,325,28,NAVAJA
tool,0,read,130,tool,277.10012435913086,326,28,NAVAJA
tool,0,read,130,tool,277.9501247406006,327,28,NAVAJA
tool,0,read,131,tool,285.6001281738281,336,24,CLAVO
tool,0,read,131,tool,286.45012855529785,337,24,CLAVO
tool,0,read,131,tool,287.3001289367676,338,24,CLAVO
tool,0,read,131,tool,288.1501293182373,339,24,CLAVO
tool,0,read,131,tool,289.00012969970703,340,24,CLAVO
tool,0,read,131,tool,289.85013008117676,341,24,CLAVO
animal,0,read,132,animal,297.5001335144043,350,5,GORILA
animal,0,read,132,animal,298.350133895874,351,5,GORILA
animal,0,read,132,animal,299.20013427734375,352,5,GORILA
animal,0,read,132,animal,300.0501346588135,353,5,GORILA
animal,0,read,132,animal,300.9001350402832,354,5,GORILA
animal,0,read,132,animal,301.75013542175293,355,5,GORILA
animal,0,read,133,animal,309.40013885498047,364,13,TORTUGA
animal,0,read,133,animal,310.2501392364502,365,13,TORTUGA
animal,0,read,133,animal,311.1001396179199,366,13,TORTUGA
animal,0,read,133,animal,311.95013999938965,367,13,TORTUGA
animal,0,read,133,animal,312.8001403808594,368,13,TORTUGA
animal,0,read,133,animal,313.6501407623291,369,13,TORTUGA
animal,0,read,134,animal,321.30014419555664,378,17,CANGURO
animal,0,read,134,animal,322.15014457702637,379,17,CANGURO
animal,0,read,134,animal,323.0001449584961,380,17,CANGURO
animal,0,read,134,animal,323.8501453399658,381,17,CANGURO
animal,0,read,134,animal,324.70014572143555,382,17,CANGURO
animal,0,read,134,animal,325.5501461029053,383,17,CANGURO
animal,0,read,135,animal,334.05014991760254,393,14,PANTERA
animal,0,read,135,animal,334.90015029907227,394,14,PANTERA
animal,0,read,135,animal,335.750150680542,395,14,PANTERA
animal,0,read,135,animal,336.6001510620117,396,14,PANTERA
animal,0,read,135,animal,337.45015144348145,397,14,PANTERA
animal,0,read,135,animal,338.3001518249512,398,14,PANTERA
tool,0,read,136,tool,346.80015563964844,408,33,CUCHARA
tool,0,read,136,tool,347.65015602111816,409,33,CUCHARA
